SMA12_1;SMA12_2;PARAM12_1;PARAM12_2;PARAM12_3;PARAM12_4;SMA4_1;SMA4_2;SMA4_3;SMA4_4;Profit;Loss deals;Profit deals;Maximum loss in profit deals
3.0;12.0;0.2;0.8;300.0;;12.0;14.0;3.0;12.0;83.75546852679966;606.0;1137.0;-9.494885361552024
3.0;12.0;0.4;0.2;300.0;;12.0;14.0;3.0;12.0;109.49887368596352;544.0;932.0;-8.39601300273108
3.0;12.0;0.4;0.4;300.0;;12.0;14.0;3.0;12.0;117.96415441755424;485.0;782.0;-8.39601300273108
3.0;12.0;0.4;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;105.65281250977746;465.0;727.0;-8.57760141093475
3.0;12.0;0.4;0.8;300.0;;12.0;14.0;3.0;12.0;103.24364438543161;586.0;1036.0;-9.494885361552024
3.0;12.0;0.6000000000000001;0.2;300.0;;12.0;14.0;3.0;12.0;75.91994286509951;598.0;931.0;-8.683774250440914
3.0;12.0;0.6000000000000001;0.4;300.0;;12.0;14.0;3.0;12.0;110.23448416472164;468.0;822.0;-8.683774250440914
3.0;12.0;0.6000000000000001;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;141.4156581185218;434.0;688.0;-8.39601300273108
3.0;12.0;0.6000000000000001;0.8;300.0;;12.0;14.0;3.0;12.0;95.36097315795041;483.0;842.0;-9.494885361552024
3.0;12.0;0.8;0.2;300.0;;12.0;14.0;3.0;12.0;89.58890962857065;636.0;995.0;-8.683774250440914
3.0;12.0;0.8;0.4;300.0;;12.0;14.0;3.0;12.0;93.32434402662554;506.0;837.0;-8.683774250440914
3.0;12.0;0.8;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;123.98959434046711;404.0;683.0;-8.39601300273108
3.0;12.0;0.8;0.8;300.0;;12.0;14.0;3.0;12.0;119.83211167254194;349.0;554.0;-9.2892285815855
3.0;15.0;0.2;0.2;300.0;;12.0;14.0;3.0;12.0;16.11222723780991;597.0;951.0;-8.57760141093475
3.0;15.0;0.2;0.4;300.0;;12.0;14.0;3.0;12.0;101.46807786713849;507.0;882.0;-8.39601300273108
3.0;15.0;0.2;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;85.38975302934563;531.0;902.0;-9.494885361552024
